step_index,time_s,sag_active,grid_voltage_pu,ups_output_voltage_pu,ups_mode,battery_energy_j,motor_speed_rad_s,pump_flow_m3_s,pump_head_pa,pump_operating_point_residual_pa,upw_supply_pressure_pa,upw_tool_flow_m3_s,upw_relief_flow_m3_s,upw_mass_balance_residual_m3_s
13,0.13,False,1.0,1.0,GRID,3600000.0,70.0,0.0,55161.15641424339,0.0,184406.48531541228,8.440648531541228e-05,0.0,-2.328306276076775e-13
14,0.14,False,1.0,1.0,GRID,3600000.0,75.0,0.0,63322.75608777941,0.0,178517.66073144972,7.851766073144972e-05,0.0,5.820766096767752e-13
15,0.15,False,1.0,1.0,GRID,3600000.0,80.0,0.0,72047.22470431791,0.0,173039.6844446659,7.30396844446659e-05,0.0,-9.313225646408185e-13
16,0.16,False,1.0,1.0,GRID,3600000.0,85.0,4.0730523736365025e-05,73039.68444466591,0.0,169838.33550475538,6.983833550475538e-05,0.0,-7.225574305547156e-13
17,0.17,False,1.0,1.0,GRID,3600000.0,90.0,6.533977848393268e-05,69838.33550475538,0.0,168004.95297648013,6.800495297648013e-05,0.0,-4.1528247989941827e-13
18,0.18,False,1.0,1.0,GRID,3600000.0,94.925,8.177106689956854e-05,68004.95297648013,0.0,167063.7268340215,6.706372683402151e-05,0.0,-5.022913678140884e-13
19,0.19,False,1.0,1.0,GRID,3600000.0,99.60374999999999,9.446658886463955e-05,67063.72683402151,0.0,166778.65702658892,6.677865702658891e-05,0.0,-5.265919866703924e-13
20,0.2,False,1.0,1.0,GRID,3600000.0,104.04856249999999,0.0001049713199460071,66778.65702658892,0.0,167002.06792447716,6.700206792447717e-05,0.0,1.0152648798842376e-13
21,0.21,False,1.0,1.0,GRID,3600000.0,108.27113437499999,0.00011398606524200104,67002.06792447715,-1.4551915228366852e-11,167629.182478413,6.762918247841298e-05,0.0,4.4566505196799115e-13
22,0.22,False,1.0,1.0,GRID,3600000.0,112.28257765624998,0.00012189900705223578,67629.18247841299,0.0,168580.58867510408,6.858058867510408e-05,0.0,1.0575775213797316e-13
23,0.23,False,1.0,1.0,GRID,3600000.0,116.09344877343749,0.0001289518211162178,68580.58867510407,-1.4551915228366852e-11,169793.65553706884,6.979365553706884e-05,0.0,5.713192946347773e-13
24,0.24,False,1.0,1.0,GRID,3600000.0,119.71377633476561,0.0001353072145303563,69793.65553706887,2.9103830456733704e-11,171217.68954675645,7.121768954675645e-05,0.0,1.6469573101141055e-14
25,0.25,False,1.0,1.0,GRID,3600000.0,123.15308751802733,0.00014108111613041576,71217.68954675643,-1.4551915228366852e-11,172810.92589255422,7.281092589255423e-05,0.0,3.756288831954606e-13
26,0.26,False,1.0,1.0,GRID,3600000.0,126.42043314212597,0.00014635977625775866,72810.92589255422,0.0,174538.525310345,7.4538525310345e-05,0.0,-6.35742475915517e-14
27,0.27,False,1.0,1.0,GRID,3600000.0,129.52441148501967,0.00015120959945967474,74538.52531034501,1.4551915228366852e-11,176371.16767000407,7.637116767000407e-05,0.0,7.614871257968954e-13
28,0.28,False,1.0,1.0,GRID,3600000.0,132.4731909107687,0.0001556831532395334,76371.16767000406,-1.4551915228366852e-11,178284.02356244624,7.828402356244624e-05,0.0,4.702069625588806e-14
29,0.29,False,1.0,1.0,GRID,3600000.0,135.27453136523025,0.00015982302122705372,78284.02356244625,1.4551915228366852e-11,180255.9764124453,8.02559764124453e-05,0.0,-3.9159564398658434e-13
30,0.3,False,1.0,1.0,GRID,3600000.0,137.93580479696874,0.00016366437373303359,80255.9764124453,0.0,182269.01869056746,8.226901869056747e-05,0.0,1.347392453144268e-13
31,0.31,False,1.0,1.0,GRID,3600000.0,140.4640145571203,0.00016723673958411552,82269.01869056743,-2.9103830456733704e-11,184307.77268949896,8.430777268949896e-05,0.0,5.712371222744983e-13
32,0.32,False,1.0,1.0,GRID,3600000.0,142.86581382926428,0.0001705652620755785,84307.77268949896,0.0,186359.10309385508,8.635910309385509e-05,0.0,-6.52326581423654e-13
33,0.33,False,1.0,1.0,GRID,3600000.0,145.14752313780107,0.00017367161100836809,86359.10309385505,-2.9103830456733704e-11,188411.79870069027,8.841179870069027e-05,0.0,8.206289583956826e-13
34,0.34,False,1.0,1.0,GRID,3600000.0,147.315146980911,0.00017657465925587665,88411.79870069027,0.0,190456.3085641712,9.045630856417119e-05,0.0,-8.599986499845114e-13
