release_cutoff_s,sample_index,source_step_index,source_timestamp_s,reported_timestamp_s,arrival_timestamp_s,arrival_minus_source_s,reported_minus_source_s,released_before_arrival,missing,quality_flags,value
0.5700000000000001,54,54,0.54,0.5629583309284242,0.5650000000000001,0.025000000000000022,0.022958330928424142,False,False,TIMESTAMP_JITTERED|DELAYED,300056.25985287456
0.58,55,55,0.55,0.5752225427605017,0.5750000000000001,0.025000000000000022,0.02522254276050162,False,False,TIMESTAMP_JITTERED|DELAYED,300052.0701168347
0.59,56,56,0.56,0.529150437110715,0.5850000000000001,0.025000000000000022,-0.030849562889285087,False,False,TIMESTAMP_JITTERED|DELAYED,300054.97768674797
0.6,57,57,0.5700000000000001,0.5411778863818234,0.5950000000000001,0.025000000000000022,-0.02882211361817666,False,False,TIMESTAMP_JITTERED|DELAYED,300054.462603503
0.61,58,58,0.58,0.6106275741503534,0.605,0.025000000000000022,0.030627574150353443,False,False,TIMESTAMP_JITTERED|DELAYED,300056.5450403369
0.62,59,59,0.59,0.6000972874722095,0.615,0.025000000000000022,0.010097287472209504,False,False,TIMESTAMP_JITTERED|DELAYED,300061.6698889317
0.63,60,60,0.6,0.5902345899173301,0.625,0.025000000000000022,-0.009765410082669845,False,False,TIMESTAMP_JITTERED|DELAYED,300062.10620692023
0.64,61,61,0.61,0.6433851889982038,0.635,0.025000000000000022,0.03338518899820386,False,True,TIMESTAMP_JITTERED|DELAYED|MISSING|DROPPED,
0.65,62,62,0.62,0.6081170925737335,0.645,0.025000000000000022,-0.01188290742626652,False,False,TIMESTAMP_JITTERED|DELAYED,300058.9611876168
0.66,63,63,0.63,0.6398600968553457,0.655,0.025000000000000022,0.009860096855345724,False,True,TIMESTAMP_JITTERED|DELAYED|MISSING|DROPPED,
0.67,64,64,0.64,0.6275209769472597,0.665,0.025000000000000022,-0.01247902305274029,False,False,TIMESTAMP_JITTERED|DELAYED,300063.4491934645
0.68,65,65,0.65,0.6433559388458113,0.675,0.025000000000000022,-0.006644061154188696,False,False,TIMESTAMP_JITTERED|DELAYED,300063.2504993932
0.6900000000000001,66,66,0.66,0.6626555935206973,0.685,0.025000000000000022,0.002655593520697219,False,False,TIMESTAMP_JITTERED|DELAYED,300065.19548454235
0.7000000000000001,67,67,0.67,0.6815165451075387,0.6950000000000001,0.025000000000000022,0.011516545107538634,False,False,TIMESTAMP_JITTERED|DELAYED,300068.92807788943
0.71,68,68,0.68,0.6956043502461338,0.7050000000000001,0.025000000000000022,0.015604350246133714,False,False,TIMESTAMP_JITTERED|DELAYED,300066.47040298703
0.72,69,69,0.6900000000000001,0.676629677710549,0.7150000000000001,0.025000000000000022,-0.013370322289451009,False,False,TIMESTAMP_JITTERED|DELAYED,300068.29697224026
