step_index,timestamp_s,mode,contact_pressure_pa,platen_angular_speed_rad_s,head_angular_speed_rad_s,relative_velocity_m_s,slurry_availability,interface_temperature_k,pressure_velocity_exposure,pad_surface_activity,pad_remaining_life,dresser_effectiveness,instantaneous_mrr_m_s,cumulative_removal_m,active_polish_time_s,stage_average_mrr_m_s,thermal_energy_residual_w
77,0.77,PREPARE,29356.554822877388,7.958236280790047,5.970421029767408,1.598639821880245,0.8576506760943075,293.15,0.973435847121972,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
78,0.78,PREPARE,29388.72708173352,7.961020528737377,5.972392961116247,1.5991999413047693,0.8612094091919498,293.15,0.9748440880016371,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
79,0.79,PREPARE,29419.290727646843,7.963619160154885,5.974233430375164,1.599722719478216,0.864679173962151,293.15,0.9761769127210537,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
80,0.8,PREPARE,29448.3261912645,7.966044549477893,5.975951201683486,1.6002106458116288,0.8680621946130972,293.15,0.9774383881333805,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
81,0.81,PREPARE,29475.909881701275,7.968308246179366,5.977554454904587,1.6006660437560563,0.8713606397477698,293.15,0.9786323622698992,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
82,0.8200000000000001,PREPARE,29502.11438761621,7.970421029767408,5.979050824577615,1.601091081866455,0.8745766237540755,293.15,0.9797624758305765,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
83,0.8300000000000001,PREPARE,29527.008668235398,7.972392961116247,5.980447436272441,1.601487784128011,0.8777122081602237,293.15,0.9808321731181517,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
84,0.84,PREPARE,29550.658234823626,7.974233430375164,5.9817509405209455,1.601858039594052,0.8807694029562181,293.15,0.9818447124361681,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
85,0.85,PREPARE,29573.125323082444,7.975951201683486,5.982967544486216,1.60220361138144,0.8837501678823126,293.15,0.9828031759715461,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
86,0.86,PREPARE,29594.469056928323,7.977554454904587,5.984103041520468,1.602526145066281,0.8866564136852548,293.15,0.9837104791823046,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
87,0.87,PREPARE,29614.745604081905,7.979050824577615,5.985162838752437,1.6028271765199293,0.8894900033431234,293.15,0.9845693797109016,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
