scenario,topology,step_index,source_time_s,timestamp_s,event_active,grid_voltage_pu,ups_output_voltage_pu,ups_mode,battery_energy_j,vfd_available_output_pu,vfd_tripped,motor_speed_rad_s,pump_flow_m3_s,pump_head_pa,pump_operating_point_residual_pa,upw_supply_pressure_pa,upw_tool_flow_m3_s,upw_temperature_k,upw_mass_balance_residual_m3_s,pressure_support,flow_support,hydraulic_support,effective_availability,dressing_availability,slurry_utility_availability,coolant_temperature_k,cooling_conductance_factor,cmp_mode,cmp_pad_surface_activity,cmp_interface_temperature_k,cmp_mrr_m_s,cmp_cumulative_removal_m
degraded_ups_3s_interruption_during_dress,NO_CONNECTION,34,0.33,0.34,False,1.0,1.0,GRID,500.0,1.0,False,188.49999100304598,0.00020000017639285145,199999.60903078318,0.0,299999.6271915734,0.0001,293.15,-4.1873934387202097e-13,1.0,1.0,1.0,1.0,1.0,1.0,293.15,1.0,DRESS,0.5030509191868596,293.15,0.0,0.0
degraded_ups_3s_interruption_during_dress,NO_CONNECTION,35,0.34,0.35000000000000003,False,1.0,1.0,GRID,500.0,1.0,False,188.49999145289368,0.0002000001682670473,199999.62719157335,-2.9103830456733704e-11,299999.64453745633,0.0001,293.15,-9.193399101888024e-13,1.0,1.0,1.0,1.0,1.0,1.0,293.15,1.0,DRESS,0.5031403694131423,293.15,0.0,0.0
degraded_ups_3s_interruption_during_dress,NO_CONNECTION,36,0.35000000000000003,0.36,False,1.0,1.0,GRID,500.0,1.0,False,188.49999188024898,0.0002000001605009669,199999.64453745636,2.9103830456733704e-11,299999.66106843203,0.0001,293.15,-6.527630985655148e-13,1.0,1.0,1.0,1.0,1.0,1.0,293.15,1.0,DRESS,0.503229803520607,293.15,0.0,0.0
degraded_ups_3s_interruption_during_dress,NO_CONNECTION,37,0.36,0.37,False,1.0,1.0,GRID,500.0,1.0,False,188.49999228623653,0.00020000015309699687,199999.66106843197,-5.820766091346741e-11,299999.6767845005,0.0001,293.15,3.833776910299737e-13,1.0,1.0,1.0,1.0,1.0,1.0,293.15,1.0,DRESS,0.5033192215121614,293.15,0.0,0.0
degraded_ups_3s_interruption_during_dress,NO_CONNECTION,38,0.37,0.38,False,1.0,1.0,GRID,500.0,1.0,False,188.4999926719247,0.0002000001460574043,199999.67678450048,0.0,299999.691802077,0.0001,293.15,-1.9516451389007533e-13,1.0,1.0,1.0,1.0,1.0,1.0,293.15,1.0,DRESS,0.5034086233907128,293.15,0.0,0.0
degraded_ups_3s_interruption_during_dress,NO_CONNECTION,39,0.38,0.39,False,1.0,1.0,GRID,500.0,1.0,False,188.49999303832845,0.00020000013932613544,199999.691802077,0.0,299999.7061211616,0.0001,293.15,-1.161370576530749e-13,1.0,1.0,1.0,1.0,1.0,1.0,293.15,1.0,DRESS,0.503498009159168,293.15,0.0,0.0
degraded_ups_3s_interruption_during_dress,NO_CONNECTION,40,0.39,0.4,False,1.0,1.0,GRID,500.0,1.0,False,188.49999338641203,0.0002000001329052364,199999.70612116155,-2.9103830456733704e-11,299999.71974175423,0.0001,293.15,6.22506193185944e-13,1.0,1.0,1.0,1.0,1.0,1.0,293.15,1.0,DRESS,0.5035873788204331,293.15,0.0,0.0
degraded_ups_3s_interruption_during_dress,NO_CONNECTION,41,0.4,0.41000000000000003,False,1.0,1.0,GRID,500.0,1.0,False,188.49999371709143,0.0002000001267966509,199999.71974175423,0.0,299999.7327802703,0.0001,293.15,-3.638051242639105e-13,1.0,1.0,1.0,1.0,1.0,1.0,293.15,1.0,DRESS,0.5036767323774141,293.15,0.0,0.0
degraded_ups_3s_interruption_during_dress,NO_CONNECTION,42,0.41000000000000003,0.42,False,1.0,1.0,GRID,500.0,1.0,False,188.49999403123687,0.00020000012094401813,199999.73278027028,0.0,299999.7452367097,0.0001,293.15,-8.031254410427255e-13,1.0,1.0,1.0,1.0,1.0,1.0,293.15,1.0,DRESS,0.5037660698330159,293.15,0.0,0.0
degraded_ups_3s_interruption_during_dress,NO_CONNECTION,43,0.42,0.43,False,1.0,1.0,GRID,500.0,1.0,False,188.49999432967502,0.00020000011534909216,199999.74523670977,5.820766091346741e-11,299999.75711107254,0.0001,293.15,-6.937006400082157e-13,1.0,1.0,1.0,1.0,1.0,1.0,293.15,1.0,DRESS,0.5038553911901433,293.15,0.0,0.0
